difficulty,category,xp_reward,user_streak,category_familiarity,completed
Medium,Discipline,127,23,0.7374,1
Hard,Strength,254,6,0.8822,1
Easy,Health,57,21,0.4339,1
Hard,Endurance,253,9,0.7476,1
Easy,Discipline,66,9,0.9998,1
Easy,Mind,68,26,0.7249,1
Easy,Endurance,55,19,0.1142,1
Hard,Discipline,262,8,0.5183,1
Medium,Endurance,131,16,0.5873,1
Medium,Health,123,26,0.1742,1
Medium,Mind,123,14,0.9629,1
Hard,Discipline,254,1,0.1756,1
Medium,Intellect,133,29,0.1776,1
Hard,Mind,259,3,0.9152,0
Medium,Intellect,119,18,0.4652,1
Medium,Endurance,129,16,0.0632,1
Medium,Strength,134,4,0.5982,1
Easy,Mind,56,6,0.6018,1
Hard,Endurance,257,17,0.0645,1
Medium,Intellect,130,20,0.9725,1
Easy,Health,69,21,0.544,1
Hard,Health,254,26,0.5598,1
Medium,Strength,128,6,0.5201,1
Medium,Mind,124,16,0.6107,1
Epic,Mind,508,6,0.2643,0
Medium,Mind,123,3,0.2872,0
Easy,Endurance,68,7,0.5113,1
Epic,Strength,497,12,0.8067,1
Medium,Mind,134,3,0.0499,1
Easy,Endurance,70,5,0.6034,1
Easy,Health,56,24,0.8068,1
Hard,Intellect,254,4,0.1569,1
Medium,Endurance,117,29,0.015,1
Medium,Health,125,11,0.3127,1
Hard,Health,255,3,0.5881,0
Hard,Intellect,257,23,0.1383,1
Easy,Health,61,28,0.4261,1
Easy,Strength,71,8,0.5523,1
Easy,Intellect,56,3,0.5989,1
Hard,Health,256,18,0.2744,1
Easy,Discipline,64,23,0.4,1
Medium,Endurance,132,13,0.7783,1
Hard,Health,255,4,0.9412,1
Hard,Strength,260,17,0.8619,1
Easy,Mind,71,9,0.5643,1
Hard,Health,263,24,0.4103,1
Easy,Mind,72,18,0.333,0
Hard,Discipline,247,11,0.125,1
Easy,Health,70,17,0.1066,1
Medium,Intellect,120,16,0.6884,1
Hard,Mind,256,29,0.2598,1
Easy,Discipline,65,23,0.2547,1
Easy,Intellect,69,10,0.9982,1
Hard,Intellect,259,2,0.1879,1
Hard,Intellect,260,22,0.1481,1
Medium,Intellect,124,16,0.0987,1
Medium,Health,126,0,0.5798,1
Medium,Endurance,127,14,0.6279,1
Easy,Health,58,27,0.3652,1
Easy,Health,61,8,0.5354,1
Easy,Discipline,56,14,0.7884,1
Epic,Discipline,509,27,0.8181,1
Medium,Endurance,122,23,0.9579,1
Medium,Discipline,121,27,0.8243,1
Medium,Strength,129,28,0.5648,1
Epic,Endurance,508,2,0.1797,0
Easy,Discipline,62,21,0.0998,1
Medium,Endurance,126,26,0.0545,1
Medium,Health,127,18,0.6665,1
Medium,Health,125,12,0.8075,1
Easy,Endurance,71,11,0.5087,1
Hard,Strength,261,19,0.0547,1
Epic,Strength,498,0,0.5355,0
Medium,Endurance,122,20,0.9357,1
Medium,Discipline,119,16,0.5976,1
Epic,Mind,510,12,0.8094,1
Hard,Strength,248,0,0.8002,0
Easy,Intellect,69,9,0.9321,1
Medium,Health,126,14,0.7702,0
Medium,Endurance,119,26,0.7477,1
Medium,Intellect,130,26,0.2341,1
Hard,Endurance,258,29,0.0599,1
Epic,Health,504,6,0.5176,1
Epic,Health,501,27,0.1244,1
Medium,Strength,127,21,0.9622,1
Easy,Strength,74,17,0.2899,1
Epic,Intellect,499,15,0.8529,1
Hard,Endurance,247,13,0.3876,1
Easy,Health,69,26,0.3232,1
Epic,Intellect,498,27,0.9352,0
Hard,Mind,259,17,0.3633,1
Medium,Intellect,128,26,0.3903,1
Medium,Discipline,134,6,0.1061,1
Medium,Intellect,133,16,0.6704,1
Easy,Discipline,67,28,0.2888,1
Easy,Discipline,64,17,0.5856,1
Hard,Discipline,249,11,0.5914,1
Easy,Mind,74,7,0.7192,1
Easy,Intellect,74,21,0.7452,1
Medium,Intellect,120,29,0.5145,1
Medium,Mind,118,1,0.331,1
Epic,Health,496,6,0.8375,1
Easy,Strength,70,3,0.3099,1
Easy,Intellect,72,17,0.5075,0
Hard,Strength,249,27,0.4013,1
Medium,Endurance,118,5,0.8551,1
Easy,Endurance,67,26,0.4319,1
Medium,Mind,133,8,0.3861,1
Easy,Endurance,56,26,0.6898,1
Easy,Endurance,67,8,0.6024,1
Medium,Health,125,13,0.1072,1
Medium,Health,118,7,0.5082,0
Epic,Health,514,18,0.7355,1
Medium,Endurance,134,2,0.9921,1
Medium,Mind,129,17,0.6291,1
Medium,Discipline,118,4,0.3703,1
Easy,Discipline,63,13,0.2262,1
Medium,Strength,121,27,0.8728,1
Easy,Discipline,73,29,0.8146,1
Epic,Discipline,513,3,0.2339,0
Easy,Health,60,6,0.2006,1
Medium,Health,120,19,0.7151,1
Easy,Endurance,74,24,0.315,1
Epic,Strength,509,27,0.3064,1
Medium,Intellect,129,11,0.1523,1
Medium,Strength,134,1,0.264,1
Easy,Strength,63,10,0.4275,1
Hard,Mind,248,13,0.7328,1
Easy,Endurance,72,21,0.3363,1
Hard,Mind,262,22,0.3286,0
Easy,Strength,59,15,0.2849,1
Easy,Strength,74,19,0.4783,1
Easy,Strength,65,28,0.1806,1
Medium,Discipline,119,5,0.4856,0
Medium,Mind,118,22,0.7042,1
Easy,Strength,66,3,0.0298,1
Hard,Health,246,14,0.0098,0
Medium,Endurance,127,23,0.0751,0
Medium,Endurance,124,24,0.5357,1
Medium,Health,123,0,0.8545,1
Medium,Endurance,124,6,0.0049,1
Medium,Discipline,121,24,0.9367,1
Easy,Discipline,58,11,0.1063,1
Easy,Intellect,73,9,0.842,1
Hard,Intellect,254,4,0.4829,1
Epic,Intellect,497,11,0.6594,1
Medium,Endurance,133,17,0.5107,1
Easy,Discipline,56,9,0.477,1
Medium,Discipline,134,5,0.8349,0
Medium,Discipline,124,27,0.7559,1
Easy,Health,56,11,0.4834,1
Easy,Discipline,56,6,0.1116,1
Hard,Health,261,17,0.1154,1
Medium,Intellect,130,1,0.8015,0
Easy,Intellect,70,9,0.5294,1
Easy,Endurance,68,14,0.4816,1
Easy,Intellect,61,29,0.6806,1
Medium,Endurance,125,11,0.8588,1
Easy,Strength,55,25,0.6289,1
Easy,Strength,65,16,0.7628,1
Hard,Mind,248,3,0.7653,1
Easy,Endurance,61,6,0.3563,1
Medium,Mind,129,29,0.2741,1
Easy,Mind,72,8,0.8012,1
Easy,Strength,66,18,0.3772,1
Easy,Endurance,71,27,0.9033,1
Hard,Strength,245,26,0.0697,1
Hard,Mind,255,22,0.0582,1
Hard,Endurance,245,6,0.927,0
Medium,Mind,129,22,0.6485,1
Medium,Discipline,124,1,0.3796,0
Easy,Endurance,61,5,0.7551,1
Easy,Endurance,56,17,0.6723,0
Hard,Mind,254,5,0.5312,1
Easy,Discipline,58,12,0.0989,1
Easy,Health,66,25,0.8122,1
Easy,Strength,73,18,0.866,1
Easy,Mind,65,29,0.1722,1
Easy,Endurance,62,1,0.8505,1
Medium,Strength,132,11,0.8778,1
Medium,Strength,125,14,0.5494,1
Hard,Strength,255,13,0.6562,1
Hard,Health,257,5,0.3822,1
Easy,Intellect,57,17,0.2818,1
Easy,Mind,66,4,0.722,1
Medium,Intellect,117,17,0.8619,1
Medium,Intellect,124,2,0.6541,1
Easy,Intellect,71,2,0.5116,1
Medium,Strength,116,21,0.1589,1
Medium,Discipline,131,21,0.0535,1
Medium,Strength,130,9,0.4457,1
Medium,Strength,116,18,0.0493,1
Easy,Endurance,74,2,0.5693,1
Epic,Endurance,500,28,0.3827,1
Hard,Intellect,254,11,0.7572,1
Easy,Strength,64,28,0.3056,1
Hard,Intellect,252,15,0.593,0
Medium,Endurance,115,16,0.5377,1
Hard,Discipline,257,6,0.0047,1
Hard,Mind,253,12,0.0724,0
Medium,Intellect,124,23,0.2904,1
Easy,Discipline,69,1,0.8822,1
Easy,Mind,59,3,0.147,1
Medium,Health,130,9,0.7109,0
Medium,Intellect,127,6,0.9734,1
Easy,Intellect,74,23,0.7906,1
Easy,Health,72,16,0.2429,1
Hard,Health,255,19,0.9084,1
Epic,Intellect,503,5,0.0931,0
Medium,Health,130,18,0.4681,1
Easy,Strength,56,4,0.8875,1
Easy,Mind,56,9,0.6413,1
Easy,Mind,66,8,0.4136,1
Epic,Mind,502,26,0.2928,1
Easy,Strength,63,12,0.3751,1
Medium,Health,126,18,0.5089,1
Easy,Discipline,63,20,0.319,1
Medium,Health,124,23,0.969,1
Medium,Intellect,116,5,0.9331,1
Hard,Endurance,260,3,0.8707,0
Easy,Mind,74,23,0.4218,1
Easy,Health,61,26,0.6913,1
Easy,Discipline,56,2,0.9028,1
Epic,Intellect,495,2,0.8504,1
Hard,Strength,263,3,0.4143,1
Medium,Strength,118,24,0.1124,1
Medium,Discipline,116,4,0.0756,1
Medium,Intellect,128,7,0.5771,1
Easy,Mind,56,15,0.6426,1
Epic,Health,509,21,0.8498,1
Medium,Intellect,126,2,0.2925,1
Medium,Strength,119,23,0.1675,1
Medium,Discipline,134,11,0.379,1
Easy,Discipline,61,24,0.3536,1
Easy,Health,64,7,0.1325,1
Hard,Discipline,258,12,0.6723,1
Easy,Discipline,68,3,0.5087,1
Medium,Intellect,119,13,0.7211,1
Easy,Mind,72,13,0.3527,1
Medium,Health,128,12,0.3257,1
Easy,Intellect,56,26,0.4726,1
Medium,Mind,126,5,0.8774,1
Hard,Intellect,250,16,0.0403,0
Easy,Endurance,58,3,0.8048,1
Medium,Intellect,127,7,0.369,1
Medium,Discipline,118,16,0.8546,1
Medium,Mind,128,2,0.8022,1
Epic,Health,510,16,0.3488,0
Hard,Health,248,8,0.6939,1
Easy,Mind,55,1,0.1596,1
Easy,Discipline,67,24,0.8963,1
Easy,Strength,58,12,0.4045,0
Medium,Intellect,134,19,0.4556,1
Easy,Discipline,72,1,0.7058,1
Medium,Endurance,120,19,0.8208,1
Medium,Mind,117,27,0.2363,1
Easy,Intellect,67,10,0.6614,1
Hard,Health,260,26,0.392,1
Easy,Strength,59,25,0.3687,1
Easy,Endurance,58,21,0.69,1
Hard,Health,252,14,0.3872,1
Medium,Mind,133,10,0.3461,1
Medium,Intellect,128,22,0.8359,1
Medium,Mind,121,2,0.1013,1
Easy,Intellect,68,2,0.6759,1
Hard,Discipline,250,27,0.2487,1
Hard,Strength,256,25,0.0155,0
Medium,Discipline,130,11,0.1668,1
Easy,Discipline,71,23,0.6067,1
Medium,Mind,127,4,0.7091,0
Medium,Strength,128,19,0.0211,1
Easy,Intellect,61,6,0.0364,1
Epic,Intellect,508,6,0.9025,0
Easy,Endurance,69,12,0.0733,1
Epic,Health,506,8,0.8942,1
Medium,Endurance,131,24,0.2282,1
Easy,Endurance,63,20,0.74,1
Medium,Intellect,129,12,0.3097,1
Hard,Mind,256,11,0.8588,1
Hard,Discipline,246,12,0.7005,1
Hard,Discipline,249,23,0.4018,0
Medium,Discipline,127,9,0.0763,1
Medium,Strength,134,0,0.7327,0
Hard,Intellect,252,24,0.6169,1
Easy,Mind,68,7,0.0029,1
Medium,Strength,129,21,0.0094,1
Easy,Health,65,15,0.8088,1
Epic,Mind,495,12,0.2594,1
Epic,Endurance,497,2,0.6361,0
Easy,Mind,71,2,0.4542,1
Hard,Mind,263,23,0.8634,1
Epic,Discipline,508,4,0.917,1
Easy,Mind,62,25,0.9968,1
Medium,Endurance,127,10,0.1537,1
Epic,Endurance,514,29,0.863,1
Easy,Intellect,57,6,0.266,0
Medium,Mind,119,20,0.5908,1
Easy,Discipline,63,23,0.5058,1
Epic,Mind,500,9,0.018,1
Epic,Health,496,9,0.9328,1
Epic,Health,507,19,0.0783,0
Medium,Discipline,119,1,0.6882,1
Hard,Intellect,252,2,0.785,1
Hard,Intellect,245,7,0.7953,1
Easy,Endurance,74,10,0.1355,0
Hard,Endurance,256,12,0.4476,0
Easy,Strength,65,6,0.8294,1
Medium,Discipline,121,12,0.3027,1
Easy,Mind,69,1,0.4677,1
Easy,Discipline,65,5,0.2728,0
Easy,Strength,70,8,0.4636,1
Medium,Endurance,117,19,0.8878,1
Easy,Discipline,74,24,0.4551,1
Hard,Discipline,258,1,0.5559,0
Easy,Endurance,57,17,0.404,1
Easy,Strength,55,15,0.4601,1
Medium,Endurance,129,24,0.0152,0
Hard,Intellect,245,11,0.2837,0
Easy,Mind,71,6,0.4366,1
Medium,Endurance,116,6,0.6338,1
Hard,Strength,264,16,0.4501,1
Medium,Health,120,12,0.3378,0
Easy,Intellect,62,10,0.3881,1
Easy,Health,70,5,0.2423,0
Hard,Endurance,263,28,0.9245,1
Easy,Intellect,55,22,0.5217,1
Hard,Mind,247,26,0.0134,1
Medium,Endurance,117,13,0.0194,1
Epic,Mind,499,5,0.973,1
Hard,Discipline,256,5,0.2215,0
Epic,Health,506,1,0.8056,0
Medium,Intellect,134,21,0.0583,1
Hard,Mind,257,19,0.9212,1
Medium,Strength,134,24,0.8744,1
Medium,Mind,123,14,0.5711,0
Medium,Strength,121,27,0.009,1
Hard,Endurance,248,16,0.2578,0
Epic,Intellect,513,28,0.4068,0
Hard,Mind,263,7,0.4601,0
Medium,Mind,120,4,0.2977,1
Medium,Intellect,127,16,0.0329,1
Hard,Mind,255,19,0.5901,1
Easy,Strength,67,0,0.5242,1
Easy,Mind,67,21,0.283,1
Medium,Health,134,17,0.038,1
Easy,Endurance,69,14,0.9946,1
Easy,Discipline,67,4,0.482,1
Easy,Strength,65,6,0.756,1
Easy,Health,73,17,0.4523,1
Easy,Endurance,62,5,0.0432,0
Epic,Intellect,514,21,0.3096,1
Medium,Strength,122,20,0.3201,1
Medium,Discipline,124,4,0.8384,0
Medium,Endurance,130,29,0.6542,1
Easy,Discipline,73,18,0.2754,1
Epic,Intellect,505,9,0.9677,0
Hard,Intellect,257,14,0.3215,1
Easy,Strength,63,9,0.9982,1
Medium,Mind,134,26,0.9962,1
Hard,Intellect,263,15,0.1912,1
Epic,Endurance,510,11,0.3127,1
Medium,Mind,121,17,0.486,0
Medium,Health,133,22,0.6641,1
Easy,Discipline,66,0,0.528,1
Epic,Mind,509,15,0.9694,1
Easy,Discipline,68,21,0.724,1
Epic,Mind,505,5,0.212,0
Medium,Health,124,2,0.1051,0
Medium,Intellect,125,1,0.6884,1
Medium,Health,120,27,0.1585,1
Easy,Intellect,56,1,0.7877,1
Easy,Intellect,65,29,0.311,1
Easy,Discipline,73,12,0.3269,1
Easy,Endurance,60,8,0.0108,1
Hard,Health,258,15,0.701,1
Medium,Mind,134,26,0.1133,1
Easy,Health,60,4,0.7729,1
Epic,Discipline,511,22,0.4919,1
Hard,Intellect,254,27,0.7843,1
Epic,Discipline,495,20,0.5839,0
Epic,Strength,497,6,0.0824,0
Easy,Strength,62,12,0.7657,1
Medium,Mind,122,19,0.0698,1
Hard,Discipline,264,23,0.4787,1
Medium,Mind,129,28,0.1723,1
Easy,Mind,61,26,0.7523,1
Hard,Strength,255,29,0.9116,1
Easy,Mind,61,25,0.5541,1
Easy,Strength,58,12,0.5271,1
Medium,Intellect,126,26,0.764,1
Medium,Discipline,120,25,0.0051,1
Medium,Mind,128,6,0.9178,1
Easy,Strength,66,9,0.1974,1
Hard,Health,255,14,0.9841,0
Easy,Mind,73,20,0.7363,1
Easy,Endurance,59,26,0.7743,1
Hard,Intellect,258,5,0.6562,1
Epic,Intellect,510,4,0.4717,0
Hard,Health,257,22,0.5716,1
Hard,Strength,264,27,0.0464,1
Medium,Mind,118,1,0.624,1
Medium,Strength,125,20,0.6261,1
Easy,Intellect,71,14,0.8912,1
Medium,Strength,121,25,0.5057,1
Medium,Intellect,128,15,0.0771,0
Easy,Strength,65,18,0.3062,1
Hard,Health,253,8,0.6556,1
Medium,Discipline,127,28,0.2393,1
Easy,Health,72,21,0.2805,1
Easy,Health,65,28,0.8205,1
Medium,Discipline,129,25,0.5843,1
Easy,Discipline,73,18,0.5085,1
Hard,Mind,245,6,0.3185,1
Medium,Mind,118,3,0.7309,1
Medium,Health,128,29,0.2877,1
Medium,Health,128,2,0.7371,1
Hard,Intellect,247,23,0.0701,1
Easy,Intellect,71,28,0.8645,1
Medium,Mind,117,19,0.4996,1
Medium,Endurance,130,10,0.4385,1
Easy,Endurance,68,0,0.611,1
Hard,Mind,264,5,0.6242,1
Hard,Intellect,257,25,0.132,1
Medium,Intellect,129,10,0.7562,1
Hard,Endurance,258,26,0.2759,1
Hard,Strength,263,0,0.905,1
Hard,Strength,250,20,0.8179,1
Hard,Intellect,254,6,0.3463,1
Medium,Strength,129,5,0.8077,1
Medium,Discipline,134,13,0.3564,1
Medium,Mind,120,1,0.1009,1
Hard,Mind,254,26,0.9619,1
Easy,Intellect,61,3,0.6526,1
Hard,Health,261,10,0.4561,0
Hard,Endurance,262,14,0.3978,1
Easy,Intellect,71,17,0.3247,1
Hard,Strength,253,26,0.9814,1
Easy,Endurance,64,0,0.1347,1
Easy,Health,64,2,0.3148,1
Hard,Strength,251,2,0.4855,0
Easy,Discipline,70,27,0.478,1
Hard,Strength,262,6,0.4714,0
Hard,Discipline,250,0,0.1758,1
Medium,Endurance,134,24,0.1449,1
Easy,Discipline,55,10,0.2548,0
Easy,Endurance,55,5,0.9145,1
Medium,Endurance,126,19,0.1131,1
Epic,Endurance,496,2,0.7574,0
Medium,Endurance,118,18,0.7575,1
Easy,Endurance,71,1,0.8098,1
Medium,Strength,118,17,0.8866,1
Medium,Endurance,125,29,0.263,1
Hard,Strength,248,11,0.2246,1
Easy,Endurance,55,28,0.4655,1
Hard,Discipline,251,9,0.2651,1
Medium,Endurance,132,4,0.7343,1
Epic,Health,503,8,0.6359,0
Easy,Endurance,57,1,0.875,1
Medium,Endurance,122,1,0.0827,0
Epic,Discipline,513,27,0.9151,1
Easy,Mind,58,5,0.2933,1
Epic,Discipline,512,28,0.4907,1
Medium,Health,134,9,0.4386,1
Easy,Mind,65,17,0.7603,1
Easy,Intellect,68,11,0.4203,1
Hard,Intellect,262,3,0.9436,1
Easy,Health,70,21,0.9025,1
Medium,Discipline,117,20,0.8722,1
Easy,Strength,69,16,0.0713,1
Medium,Health,118,14,0.8543,1
Easy,Mind,59,5,0.7816,1
Hard,Mind,261,15,0.1035,1
Epic,Endurance,501,16,0.1074,1
Epic,Intellect,510,2,0.1012,1
Hard,Mind,258,9,0.0113,0
Easy,Health,70,4,0.5486,1
Hard,Mind,251,13,0.9734,1
Easy,Health,63,25,0.4387,1
Easy,Strength,58,28,0.5408,1
Easy,Endurance,65,20,0.968,1
Medium,Intellect,116,12,0.2552,1
Hard,Mind,256,25,0.8585,1
Medium,Health,126,5,0.5464,1
Medium,Discipline,118,11,0.5695,1
Easy,Intellect,72,25,0.3432,1
Epic,Strength,501,7,0.5616,1
Medium,Health,115,4,0.0731,1
Medium,Endurance,127,29,0.7646,1
Easy,Endurance,60,14,0.2847,1
Hard,Strength,250,26,0.8876,1
Medium,Strength,126,15,0.3679,1
Easy,Endurance,62,0,0.1428,1
Easy,Mind,73,15,0.6959,1
Medium,Mind,119,4,0.1646,1
Medium,Health,132,2,0.7537,1
Easy,Discipline,59,19,0.9681,1
Epic,Health,504,14,0.7796,1
Easy,Discipline,55,12,0.0224,1
Medium,Strength,124,23,0.5999,1
Epic,Intellect,499,15,0.6954,1
Medium,Health,126,22,0.8255,1
Medium,Health,121,10,0.056,1
Medium,Discipline,123,20,0.4801,1
Easy,Strength,66,1,0.5354,1
Epic,Strength,495,21,0.1691,1
Medium,Discipline,125,26,0.3224,1
Hard,Strength,259,5,0.4402,1
Easy,Endurance,56,25,0.8332,1
Easy,Mind,74,25,0.9294,1
Easy,Endurance,61,29,0.6284,1
Medium,Intellect,126,26,0.3949,1
Medium,Health,132,5,0.254,0
Hard,Intellect,247,13,0.9821,1
Medium,Health,121,24,0.983,0
Epic,Mind,505,10,0.925,1
Easy,Strength,72,7,0.7857,1
Hard,Endurance,256,7,0.3258,0
Hard,Discipline,250,0,0.817,1
Hard,Endurance,249,20,0.4088,1
Hard,Mind,245,6,0.3268,1
Hard,Intellect,256,5,0.7449,0
Medium,Discipline,125,20,0.0797,1
Easy,Strength,58,7,0.0486,1
Easy,Mind,72,18,0.448,0
Epic,Discipline,498,21,0.4456,1
Medium,Mind,131,20,0.8956,1
Hard,Mind,246,23,0.1262,1
Medium,Strength,116,19,0.1233,1
Easy,Health,66,7,0.1475,1
Easy,Discipline,60,25,0.0297,1
Medium,Strength,124,13,0.0717,0
Medium,Mind,130,17,0.6599,0
Easy,Strength,68,24,0.4316,1
Medium,Health,121,28,0.7636,1
Easy,Endurance,73,15,0.9926,0
Medium,Discipline,131,8,0.659,0
Easy,Health,63,14,0.0505,1
Hard,Intellect,257,29,0.1046,0
Easy,Discipline,59,25,0.881,1
Medium,Health,119,9,0.5275,0
Easy,Mind,64,28,0.8248,1
Easy,Discipline,64,21,0.8566,1
Medium,Discipline,121,15,0.9277,1
Medium,Strength,129,3,0.9498,1
Medium,Mind,121,19,0.5548,1
Easy,Intellect,69,12,0.341,1
Medium,Endurance,117,21,0.9619,0
Hard,Health,263,4,0.5474,1
Hard,Strength,254,21,0.0643,1
Easy,Health,69,6,0.6428,1
Medium,Intellect,117,22,0.5877,1
Easy,Intellect,60,8,0.8958,1
Easy,Discipline,66,7,0.6532,1
Epic,Intellect,509,28,0.3491,1
Easy,Health,60,15,0.9662,1
Medium,Mind,127,5,0.8016,1
Medium,Mind,133,27,0.6304,1
Hard,Discipline,247,15,0.2929,1
Medium,Endurance,122,5,0.3735,1
Easy,Health,62,13,0.67,1
Easy,Health,74,20,0.072,1
Medium,Intellect,129,0,0.2567,0
Easy,Health,58,24,0.7139,1
Medium,Strength,133,8,0.48,0
Easy,Endurance,57,24,0.4024,1
Easy,Intellect,67,26,0.1515,1
Medium,Strength,122,23,0.4418,1
Easy,Discipline,70,12,0.7707,1
Medium,Mind,127,25,0.264,1
Medium,Discipline,117,28,0.0054,1
Hard,Mind,260,18,0.6685,1
Easy,Discipline,63,16,0.9726,1
Easy,Health,68,10,0.6068,1
Easy,Strength,67,27,0.1199,1
Medium,Mind,121,27,0.3207,1
Hard,Intellect,259,7,0.8676,1
Easy,Strength,61,22,0.2326,1
Epic,Intellect,500,28,0.6077,1
Easy,Strength,56,4,0.4027,0
Medium,Strength,123,9,0.2078,1
Hard,Discipline,261,6,0.8134,1
Hard,Mind,249,9,0.7428,0
Hard,Mind,256,3,0.6616,0
Hard,Strength,245,8,0.2363,1
Easy,Health,64,26,0.0979,1
Hard,Health,255,25,0.5762,1
Easy,Intellect,70,13,0.5537,1
Hard,Intellect,258,1,0.1884,0
Medium,Discipline,122,24,0.0562,1
Hard,Strength,261,8,0.0807,1
Medium,Intellect,132,20,0.9928,1
Medium,Intellect,126,26,0.7836,1
Medium,Endurance,131,0,0.922,1
Hard,Strength,258,22,0.1951,1
Easy,Discipline,70,9,0.9606,1
Easy,Intellect,68,9,0.1427,1
Easy,Discipline,63,19,0.5091,1
Easy,Mind,58,24,0.8297,1
Hard,Discipline,255,21,0.3498,1
Easy,Health,60,28,0.4248,1
Epic,Health,509,2,0.1282,1
Easy,Discipline,59,5,0.1229,1
Easy,Health,65,28,0.6196,1
Hard,Mind,262,25,0.6755,1
Medium,Strength,127,5,0.7773,1
Medium,Health,125,20,0.5567,1
Medium,Health,128,1,0.6458,1
Hard,Discipline,262,25,0.0135,1
Easy,Mind,73,25,0.1622,1
Epic,Strength,509,17,0.9849,1
Epic,Discipline,503,22,0.076,0
Medium,Discipline,122,1,0.6788,1
Easy,Endurance,74,11,0.1761,1
Medium,Mind,115,21,0.7167,1
Easy,Strength,58,4,0.706,1
Easy,Mind,68,19,0.2342,1
Easy,Strength,56,6,0.2696,1
Medium,Mind,130,23,0.6548,1
Hard,Discipline,247,15,0.3901,1
Hard,Discipline,252,19,0.1945,1
Hard,Intellect,250,0,0.7317,1
Medium,Health,130,0,0.1541,0
Easy,Endurance,70,16,0.8556,1
Medium,Mind,121,26,0.5147,1
Epic,Endurance,507,0,0.1057,0
Easy,Intellect,67,20,0.6941,1
Hard,Health,249,19,0.5192,1
Medium,Mind,134,12,0.2981,0
Medium,Strength,132,29,0.4225,1
Hard,Health,259,8,0.2983,0
Medium,Discipline,132,14,0.263,1
Hard,Intellect,246,2,0.1636,0
Epic,Health,504,13,0.3628,0
Medium,Health,127,22,0.251,0
Easy,Discipline,72,10,0.6834,1
Medium,Mind,129,23,0.6839,1
Epic,Strength,506,21,0.5018,1
Easy,Discipline,69,11,0.7779,0
Medium,Strength,127,12,0.8413,1
Medium,Mind,132,25,0.5798,1
Hard,Health,259,12,0.6189,1
Easy,Strength,65,0,0.2829,0
Hard,Intellect,263,23,0.8949,1
Epic,Intellect,497,9,0.0242,0
Easy,Discipline,61,2,0.3486,1
Easy,Mind,68,23,0.7218,1
Epic,Discipline,508,27,0.0801,1
Easy,Discipline,67,3,0.1832,1
Hard,Endurance,256,15,0.5893,1
Medium,Discipline,123,7,0.56,1
Easy,Endurance,55,15,0.7389,1
Hard,Intellect,263,26,0.8126,1
Medium,Intellect,125,16,0.1286,1
Medium,Discipline,133,18,0.0184,1
Medium,Intellect,132,21,0.6896,1
Medium,Mind,126,14,0.3014,1
Easy,Endurance,55,15,0.626,1
Medium,Endurance,133,14,0.1505,0
Epic,Discipline,514,24,0.469,1
Easy,Intellect,71,1,0.5044,1
Medium,Strength,119,10,0.5851,1
Easy,Endurance,57,0,0.5132,1
Hard,Discipline,246,14,0.4957,1
Easy,Discipline,57,25,0.3327,1
Epic,Mind,502,18,0.0712,0
Medium,Health,130,3,0.0895,1
Easy,Health,60,10,0.4338,1
Easy,Endurance,67,4,0.3558,1
Easy,Mind,70,2,0.5161,1
Medium,Mind,130,12,0.3048,1
Easy,Mind,57,9,0.6879,1
Hard,Endurance,257,10,0.864,1
Medium,Health,128,17,0.2989,1
Easy,Mind,62,1,0.193,1
Medium,Intellect,126,6,0.1162,0
Hard,Discipline,252,8,0.6163,1
Easy,Discipline,63,9,0.4439,1
Easy,Strength,55,17,0.188,1
Easy,Strength,60,22,0.6531,1
Hard,Endurance,263,6,0.1485,0
Medium,Endurance,125,26,0.5543,1
Medium,Discipline,125,6,0.5271,0
Hard,Intellect,257,2,0.7342,1
Hard,Health,255,11,0.0551,1
Medium,Health,132,6,0.8879,1
Hard,Endurance,259,16,0.703,1
Easy,Intellect,55,25,0.2161,1
Easy,Endurance,61,0,0.1834,1
Easy,Health,67,4,0.4317,1
Easy,Endurance,66,15,0.8176,0
Medium,Mind,132,14,0.8429,1
Epic,Endurance,513,1,0.5205,0
Easy,Discipline,69,8,0.8608,1
Easy,Endurance,62,6,0.0054,1
Medium,Discipline,133,3,0.0352,1
Epic,Intellect,504,19,0.9118,1
Easy,Health,61,17,0.7753,1
Medium,Strength,132,20,0.4507,1
Easy,Strength,70,3,0.7536,1
Easy,Health,74,27,0.9556,0
Epic,Strength,500,12,0.7721,1
Epic,Endurance,503,0,0.8424,0
Easy,Intellect,67,27,0.7606,1
Epic,Intellect,502,23,0.1682,1
Medium,Health,130,2,0.8336,1
Hard,Strength,257,15,0.1951,0
Medium,Endurance,127,29,0.8926,1
Medium,Intellect,131,21,0.4586,1
Medium,Intellect,134,3,0.677,1
Medium,Mind,119,24,0.4972,1
Easy,Mind,71,22,0.094,1
Easy,Intellect,63,24,0.2907,1
Easy,Health,56,15,0.9837,1
Hard,Discipline,262,25,0.9607,1
Easy,Discipline,63,18,0.3205,0
Medium,Endurance,120,0,0.9963,1
Epic,Intellect,505,4,0.8456,0
Easy,Intellect,60,18,0.611,1
Medium,Intellect,120,21,0.0401,1
Medium,Health,127,23,0.9014,1
Hard,Mind,255,10,0.5574,1
Easy,Intellect,68,12,0.8685,1
Medium,Intellect,116,19,0.8344,1
Hard,Strength,252,4,0.833,1
Epic,Health,497,20,0.6982,0
Medium,Endurance,117,3,0.2914,1
